station_id,season,freq_range,slope,std_error
003_BL_Ar,summer,1day-1hour,0.5731784640651031,0.03677515251048376
003_BL_Ar,summer,1hour-1min,1.0266495795381867,0.0069311264333050135
003_BL_Ar,winter,1day-1hour,1.2110407823255782,0.036299114158268524
003_BL_Ar,winter,1hour-1min,-0.11080284448350045,0.1481756678870216
009_BL_Ca,summer,1day-1hour,0.5554578235052102,0.023973686412141027
009_BL_Ca,summer,1hour-1min,0.9811267667100415,0.03234305344663983
009_BL_Ca,winter,1day-1hour,1.2719342247499783,0.027394478943517188
009_BL_Ca,winter,1hour-1min,0.027773979274692835,0.16612071668119965
011_BL_Ma,summer,1day-1hour,0.5811150395102196,0.03517859124651939
011_BL_Ma,summer,1hour-1min,0.9666829518993308,0.04433376674274913
011_BL_Ma,winter,1day-1hour,1.3403156675752923,0.03176178742125376
011_BL_Ma,winter,1hour-1min,-0.03541784541482974,0.17380630739541994
015_BL_Ga,summer,1day-1hour,0.5914488695021624,0.035938470234979425
015_BL_Ga,summer,1hour-1min,0.9689364298687171,0.07954163356434509
015_BL_Ga,winter,1day-1hour,1.4486733585285534,0.03140526468488843
015_BL_Ga,winter,1hour-1min,-0.07342713062298242,0.16104560051584543
019_BL_Ag,summer,1day-1hour,0.4915880097383847,0.036984299656229645
019_BL_Ag,summer,1hour-1min,1.0961364660572963,0.0022411119053864785
019_BL_Ag,winter,1day-1hour,1.500033711334783,0.08406386302163105
019_BL_Ag,winter,1hour-1min,0.19828600301989188,0.20840705583014632
022_BL_Sa,summer,1day-1hour,0.4506361526171522,0.04722502645348241
022_BL_Sa,summer,1hour-1min,1.121299199028034,0.042079977452198915
022_BL_Sa,winter,1day-1hour,1.378246378472818,0.03672330571572862
022_BL_Sa,winter,1hour-1min,0.4774256001896248,0.11524984804790711
025_BL_So,summer,1day-1hour,0.4708184257394323,0.02611158512227369
025_BL_So,summer,1hour-1min,1.0232386472242654,0.09751875914467978
025_BL_So,winter,1day-1hour,1.3268362916676961,0.038672052077060426
025_BL_So,winter,1hour-1min,0.3452613273501345,0.18037373877736443
048_BL_Po,summer,1day-1hour,0.5599846501228721,0.04325328872905083
048_BL_Po,summer,1hour-1min,1.075861738045111,0.13896680471188733
048_BL_Po,winter,1day-1hour,1.314802119754568,0.04187789985351084
048_BL_Po,winter,1hour-1min,-0.09202548117513053,0.1560206259915531
056_BL_Fo,summer,1day-1hour,0.5751222182976361,0.025678402828498623
056_BL_Fo,summer,1hour-1min,1.0180592427644488,0.032662120752391714
